Year,SQC,Definition ,Source,Project Domain,Reference,Technical,Environmental,Economic,Social
,,,Group 7 - 2023,Art and Museum,,,,,
,,,Group 10 - 2023,Urban Mobility,,,,,
,Data Privacy,"Data privacy involves implementing robust technical measures, such as encryption, secure storage, and access controls, to protect personal information from unauthorized access, misuse, or breaches.",Group 1 - 2023,Urban Mobility,European Data Protection Supervisor,X,,,
,,"Data privacy ensures that end-users trust their personal information—such as names, dates of birth, photographs, email addresses, telephone numbers, and IP addresses—is protected from unauthorized access or misuse, fostering confidence in the system and its services.",,,,,,,X
,,"The degree to which stakeholders trust that personally identifiable information is securely collected, stored, or used without misuse or unauthorized access.",Group 2 - 2023,Art and Museum,European Data Protection Supervisor,,,,X
,,,Group 8 - 2023,,,,,,
,,,Group 9 - 2023,Urban Mobility,,,,,
,,"The degree to which personally identifiable information is protected through technical measures during its collection, storage, or use.",Group 2 - 2023,Art and Museum,[Condori-Fernadez et al. (2020)],X,,,
,,,Group 8 - 2023,,,,,,
,,,Group 9 - 2023,Urban Mobility,,,,,
,,Degree to which the system protects the users privacy,Group 4 - 2023,Art and Museum,,,,,X
,,The degree to which a system provides robust mechanisms that allow individuals to manage and control the data they loan to organizations.,Group 7 - 2023,,adapted from [GDPR (2018)],X,,,
,,The degree to which individuals feel confident in their ability to maintain control over the data they loan to organizations.,Group 7 - 2023,,adapted from [GDPR (2018)],,,,X
,Usability,"Degree to which a system can be used with effectiveness, efficiency and satisfaction in a specified context of use. ",Group 1 - 2023,Urban Mobility,[ISO/IEC 25010:2011],,,,X
,,"Degree to which a system has attributes that make it intuitive, easy to operate, and control, ensuring users can efficiently achieve their goals",Group 8 - 2023,Art and Museum,,,,,
,Costs,"The amount of money required to buy, operate, or produce something, highlighting economic value and long-term financial impact.",Group 1 - 2023,Urban Mobility,Cambridge Dictionamy,,,X,
,Art Digitalization,Degree to which accessible art is digitized in a system. ,Group 2 - 2023,Art and Museum,-,X,,,
,Security,"Degree to which a system or component prevents unauthorised access to, or modification of, computer programs or data",Group 2 - 2023,Art and Museum,[ISO/IEC 25010:2011],X,,,
,,The degree to which a system ensures that data are accessible only to those authorised to have access. ,Group 7 - 2023,,,X,,,
,,,Group 8 - 2023,,,,,,
,,The degree to which users trust the system to protect their data from unauthorized access.,Group 7 - 2023,,,,,,X
,,,Group 8 - 2023,,,,,,
,Carbon Emissions,The degree to which a system contributes to or mitigates carbon dioxide (CO2) emissions during its operation or production processes.,Group 2 - 2023,Art and Museum,-,,X,,
,,,Group 4 - 2023,,-,,,,
,,,Group 6 - 2023,Agriculture,[ISO/IEC 25010:2011],,,,
,Energy Savings,"Energy saving refers to the reduction of energy consumption to minimize environmental impact, including lower CO2 emissions and decreased resource usage.",Group 2 - 2023,Art and Museum,-,,X,,
,,Energy saving refers to the optimization of system processes and configurations to reduce energy consumption while balancing trade-offs like configurability and scalability.,,,-,X,,,
,Energy Costs,"Energy costs refer to the financial expenses of energy consumption, which are reduced through energy-saving measures.",Group 2 - 2023,Art and Museum,-,,,X,
,Configurability,Degree to which a system can perform efficient operations and offer services the way it was intended by their programmers ,Group 2 - 2023,Art and Museum,-,X,,,
,,"Degree to which a system supports the creation and enablement of new configurations, allowing flexibility and adaptability in its functionality.",Group 7 - 2023,,[Condori-Fernandez et al. (2020)],X,,,
,,Degree to which a system empowers users to customize functionality and control the delivery of information to meet their needs and preferences. ,,,,,,,X
,Remote Access,The degree to which a system enables secure and reliable access to its services or products from remote locations.,Group 2 - 2023,Art and Museum,-,X,,,
,,The degree to which people can effectively and inclusively access a system's services or products from any location.,,,,,,,X
,Scalability,The degree to which a computing process adapts to diverse workloads while maintaining performance.,Group 2 - 2023,Art and Museum,[Condori-Fernadez et al. (2020)],X,,,
,,,Group 7 - 2023,,,,,,
,,,Group 17 - 2023,Education,,,,,
,,The degree to which a computing process scales cost-effectively across capabilities.,Group 2 - 2023,Art and Museum,[Condori-Fernadez et al. (2020)],,,X,
,,,Group 7 - 2023,,,,,,
,,,Group 17 - 2023,Education,,,,,
,User Experience,"The overall experience of a person using a service or product, particularly in terms of how pleasing it us. ",Group 2 - 2023,Art and Museum,-,,,,X
,,Degree to which a system is experienced as being user friendly,Group 4 - 2023,,-,,,,
,Digital Inclusion,The degree to which types of customers are eligible for services offered by a system ,Group 2 - 2023,Art and Museum,-,,,,X
,,"The degree to which a system is accessible, usable, and respectful of the diverse needs and preferences. ",Group 7 - 2023,,[Software Design (2023)],,,,
,,The degree to which a system is accessible and usable,,,,X,,,
,Time Behaviour,How digital solutions influence the timing and efficiency of operational activities throughout the agricultural value chain.,Group 3 - 2023,Agriculture,ISO/IEC 25000,,,X,
,,"The effects of digital solutions of sustainability, timing, and duration on agricultural activities, in relation to their environmental impact.",,,,,X,,
,,The degree to which the processing times and throughput rates of a system meet its requirements. ,Group 9 - 2023,Urban Mobility,[ISO/IEC 25010:2011],X,,,
,,"Degree to which the response, processing times and throughput rates of a system, when performing its functions, meet requirements. ",Group 18 - 2023,Art and Museum,,,,,
,,Irrigation scheduling aims to achieve an optimum water supply for productivity. ,Group 11 - 2023,Agriculture,,X,,,
,,Irrigation scheduling ensures efficient water use,,,,,X,,
,Confidentiality,Degree to which a product or system ensures that data are accessible only to those authorized to have access.,Group 3 - 2023,Agriculture,ISO/IEC 25000,X,,,
,,,Group 4 - 2023,Art and Museum,[ISO/IEC 25010:2011],,,,
,,"Entails protecting information from unwanted access, disclosure, or usage in order to protect agricultural workers’ privacy, security, and confidence.",Group 3 - 2023,Agriculture,ISO/IEC 25000,,,,X
,,"The degree to which sensitive data is protected and accessible only to authorized individuals, fostering user trust.",Group 4 - 2023,Art and Museum,[ISO/IEC 25010:2011],,,,
,Integrity,"Degree to which a system or component prevents unauthorised access to, or modification of, computer programs or data",Group 3 - 2023,Agriculture,ISO/IEC 25000,X,,,
,,,Group 4 - 2023,Art and Museum,[ISO/IEC 25010:2011],,,,
,Availability,"Degree to which a system, product or component is operational and accessible when required for use",Group 3 - 2023,Agriculture,ISO/IEC 25000,X,,,
,,,Group 4 - 2023,Art and Museum,[ISO/IEC 25010:2011],,,,
,,The degree to which the price of a product is affordable to its consumers. ,Group 6 - 2023,Agriculture,"Derived from Krukowski et al., 2010",,,,X
,,Degree to which a system or component is operational and accessible when required for use. ,Group 11 - 2023,Agriculture,[ISO/IEC 25010:2011],X,,,
,,,Group 17 - 2023,Education,,,,,
,Learnability,"General: Degree to which a product or system can be used by specified users to achieve specified goals of learning to use the product or system with effectiveness, efficiency, freedom from risk and satisfaction in a specified context of use.
Social: Includes the capacity to adjust to and absorb knowledge from technological developments, fostering digital literacy and empowering social groups to use digital technologies for better livelihood and agricultural practices.",Group 3 - 2023,Agriculture,ISO/IEC 25000,,,,X
,,Being able to achieve usage proficiency in a short period of time by users ,Group 11 - 2023,,,,,,
,Transparency,"General: Degree to which adequate information about the AI system is communicated to stakeholders. Social: Entails providing easy access to pertinent information for all agricultural stakeholders, in order to promote responsibility, trust, and well-informed decision-making.",Group 3 - 2023,Agriculture,ISO/IEC 25000,,,,X
,,"Making digital tools, information, and resources readily available and user-friendly to empower social groups and promote inclusive and informed participation in agricultural activities and decision-making. ",Group 3 - 2023,Agriculture,ISO/IEC 25000,,,,X
,Accessibility,"The degree to which a product or system is designed and implemented to support accessibility for people with diverse abilities, ensuring compatibility with assistive technologies and accessibility standards.",Group 3 - 2023,Agriculture,ISO/IEC 25000,X,,,
,,,Group 7 - 2023,Art and Museum,ISO/IEC 25000,,,,
,,Degree to which a system can be used by people with the widest range of characteristics and capabilities. ,Group 4 - 2023,Art and Museum,[ISO/IEC 25010:2011],,,,X
,,,Group 7 - 2023,,,,,,
,,,Group 8 - 2023,,,,,,
,,,Group 17 - 2023,Education,,,,,
,,Degree to which a system can exchange information with other systems and use the information ,Group 5 - 2023,Education,,X,,,
,Compliance,"Ensuring that all agricultural stakeholders comply with established guidelines and norms to safeguard the rights, privacy, while harnessing the benefits of digital transformation.",Group 3 - 2023,Agriculture,ISO/IEC 25000,,,,X
,,"The degree to which data adheres to technical standards, conventions, and regulations, ensuring structured, high-quality, and compliant data management within a specific context of use.",Group 3 - 2023,Agriculture,ISO/IEC 25000,X,,,
,,Degree to which a system allows to draw conclusions about how well the software adheres to application related regulations in laws ,Group 4 - 2023,Art and Museum,[Condori-Fernadez et al. (2020)],X,,,
,Preservation,"Degree to which a system actively enables the long-term preservation of art, ensuring its accessibility, integrity, and protection.",Group 4 - 2023,Art and Museum,-,,,,X
,Long-term Preservation,"Strategies employed to ensure the preservation of digitized data, cultural artifacts, and educational materials for future generations. ",Group 5 - 2023,Education,Project Documentation,,,,X
,,"Long-term preservation refers to the strategies and technologies used to ensure the integrity, accessibility, and durability of digitized data, cultural artifacts, and educational materials over time.",Group 5 - 2023,,,X,,,
,Output Standard,Degree to which a system output is standarised,Group 4 - 2023,Art and Museum,-,X,,,
,Value of artwork,Degree to which a system changes the value of an artwork,Group 4 - 2023,Art and Museum,-,,,X,
,Revenue Stream,Degree to which a system influences the revenue stream,Group 4 - 2023,Art and Museum,-,,,X,
,Intellectual Property,Degree to which a system protects the intellectual property,Group 4 - 2023,Art and Museum,-,,,X,
,Profitability,Degree to which a system influences profitability,Group 4 - 2023,Art and Museum,-,,,X,
,,Financial gain from a transaction or from a period of investment or business activity,Group 7 - 2023,,-,,,X,
,Engagement,Degree to which a system influences the amount of engagement,Group 4 - 2023,Art and Museum,-,,,,X
,,"The degree to which indigenous communities engage in digital and economic initiatives, ensuring equitable access to financial opportunities and sustainable economic participation.",Group 5 - 2023,Education,Community Surveys and Participation rates,,,X,
,,"The degree to which indigenous communities actively participate in shaping digital education policies, cultural preservation, and governance, ensuring their voices are central in decision-making.",Group 5 - 2023,,,,,,X
,Piracy,Degree to which a system enables piracy,Group 4 - 2023,Art and Museum,-,,,X,
,Operability,Degree to which a system has attributes that make it easy to operate and control,Group 4 - 2023,Art and Museum,[ISO/IEC 25010:2011],X,,,
,,,Group 17 - 2023,Education,,,,,
,User Error Protection,"The degree to which a system prevents, detects, and helps users recover from errors through design and automated safeguards.",Group 4 - 2023,Art and Museum,[ISO/IEC 25010:2011],X,,,
,,,Group 17 - 2023,Education,,,,,
,,The degree to which a system reduces user frustration and improves confidence by minimizing errors and supporting recovery.,Group 4 - 2023,Art and Museum,[ISO/IEC 25010:2011],,,,X
,,,Group 17 - 2023,Education,,,,,
,Recoverability,"Degree to which, in case of an interruption or a failure, a system can recover the data affected ans re-establish the desired state od the system ",Group 4 - 2023,Art and Museum,[ISO/IEC 25010:2011],X,,,
,Functional Correctness,"Degree to which a product can perform its required functions efficiently while sharing a common environment and resources with other products, without detrimental impact on any other product. ",Group 5 - 2023,Education,[ISO/IEC 25010:2011],X,,,
,,Degree to which a product or system provides the correct results with the needed degree of precision. ,Group 10 - 2023,Urban Mobility,,,,,
,,,Group 17 - 2023,Education,,,,,
,Usability,"he degree to which a system is designed to enable effective, efficient, and satisfying task completion through optimized functionality and performance.",Group 5 - 2023,Education,[ISO/IEC 25010:2011],X,,,
,,,Group 7 - 2023,Art and Museum,,,,,
,,"The degree to which users can complete tasks effectively, efficiently, and with satisfaction, ensuring an intuitive and inclusive experience.",Group 5 - 2023,Education,,,,,X
,,,Group 7 - 2023,Art and Museum,,,,,
,Cultural Sensitivity,The degree to which digital systems are designed to preserve and adapt to indigenous cultural nuances.,Group 5 - 2023,Education,Project Documentation,X,,,
,,The degree to which digital systems respect and represent indigenous cultural values and traditions.,,,,,,,X
,Equal Access,"Ensuring digital infrastructure supports equal access in both urban and remote areas, bridging connectivity gaps.",Group 5 - 2023,Education,Project Implementation Reports,X,,,
,,"Ensuring digital resources are equally accessible in all regions, reducing geographic barriers and promoting digital inclusion.",,,,,,,X
,Economic Risk ,System mitigates the potential risk to financial status in the intended contexts of use,Group 6 - 2023,Agriculture,[ISO/IEC 25010:2011],,,X,
,,,Group 18 - 2023,Art and Museum,,,,,
,,The degree to which a system mitigates the potential financial risk. ,Group 9 - 2023,Urban Mobility,,,,,
,,"The case where the distribution of outcomes is known either a priori or statistically through experience, and uncertainty as the case where probabilities can not be quantified. ",Group 11 - 2023,Agriculture,,,,,
,Capacity,"The degree to which a system or product meets its maximum workload, storage, or processing limits while maintaining functionality.",Group 6 - 2023,Agriculture,[ISO/IEC 25010:2011],X,,,
,,,Group 18 - 2023,Art and Museum,,,,,
,Water Security,Water security ensures sufficient water quality and quantity to sustain ecosystems and biodiversity without compromising long-term environmental sustainability.,Group 6 - 2023,Agriculture,"Derived from Pachova et al., 2008.",,X,,
,,"Water security guarantees access to safe and sufficient water for human health, livelihoods, and national well-being, ensuring equitable distribution and resilience.",,,,,,,X
,Co-existence,Co-exist with the immediate and global environment by using and managing land and soil sustainably. ,Group 6 - 2023,Agriculture,Derived from UNSDG no. 2,,X,,
,,The degree to which a product operates in a shared environment while minimizing resource consumption and environmental impact.,Group 11 - 2023,Agriculture,[ISO/IEC 25010:2011],,X,,
,,,Group 18 - 2023,Art and Museum,,,,,
,,"The degree to which a product functions efficiently in a shared environment, ensuring compatibility and optimal resource use without disrupting other products.",Group 11 - 2023,Agriculture,[ISO/IEC 25010:2011],X,,,
,,,Group 18 - 2023,Art and Museum,,,,,
,Health and Safety Risk Mitigation,System mitigates the potential risk to people in the intended contexts of use.,Group 6 - 2023,Agriculture,[ISO/IEC 25010:2011],,,,X
,Data Protection,"The degree to which a system protects personal data while ensuring transparency, user control, and privacy rights.",Group 7 - 2023,Art and Museum,Adapted from [European Union Law (2016)],,,,X
,,"The degree to which a system securely processes, stores, and manages personal data, ensuring compliance with legal and technical standards.",,,,X,,,
,Digital Loans,the ability for a system to provide digitised materials in a collection available for lending ,Group 7 - 2023,Art and Museum,Adapted from [Sheppard (2018)],X,,,
,Copyright,"The ability for an organization to protect and manage exclusive rights over digitized artifacts using digital security measures, access controls, and copyright enforcement technologies.",Group 7 - 2023,Art and Museum,Adapted from [GDPR (2001)],X,,,
,,"The ability for an organization to enforce exclusive rights over owned digitized artifacts, allowing control over their licensing, distribution, and commercial use.",,,,,,X,
,Flexibility,The degree to which a system can be used in contexts beyond those initially specified in the requirements.,Group 7 - 2023,Art and Museum,[ISO/IEC 25010:2011],X,,,
,,The degree to which a system's flexibility reduces redevelopment costs and increases return on investment by supporting new use cases efficiently.,Group 18 - 2023,,,,,X,
,(Reduction of) Software Waste,The degree to which a system minimizes resource consumption and digital waste by optimizing processes for sustainability.,Group 7 - 2023,Art and Museum,[Condori-Fernadez et al. (2020)],,X,,
,(Reduction of) Landfill Waste ,The degree to which a system minimizes physical material consumption and prevents landfill waste through sustainable alternatives and resource efficiency.,Group 7 - 2023,Art and Museum,-,,X,,
,,"The degree to which a system optimizes material use to reduce costs and waste disposal expenses, promoting sustainable resource management.",,,-,,,X,
,Optimisation,"The ability to improve system efficiency by eliminating redundant tasks and optimizing processes for better performance, automation, and resource utilization.",Group 7 - 2023,Art and Museum,-,X,,,
,Historical Archiving,"The process of systematically storing, managing, and preserving historical records using digital or physical infrastructure to ensure long-term integrity, accessibility, and protection against data loss.",Group 7 - 2023,Art and Museum,-,X,,,
,,"The preservation of historical records and cultural artifacts to safeguard collective memory, support education, and ensure accessibility for future generations.",,,-,,,,X
,Personalisation,The degree to which a user or stakeholder can tailor their experience of a system to their linking,Group 7 - 2023,Art and Museum,-,,,,X
,,"The ability of a system to adjust its interface and features based on user preferences using AI, configurable settings, and adaptive design.",,,-,X,,,
,Tech Literacy,"The ability to access, manage, understand, integrate, communicate, evaluate and create information safely and appropriately through digital technologies",Group 7 - 2023,Art and Museum,[UNESCO (2018)],X,,,
,,"The ability to leverage digital skills for job opportunities, economic participation, and improved productivity in a technology-driven market.",,Art and Museum,,,,X,
,,"The ability to engage with digital technologies responsibly, ensuring equitable access, inclusion, and safe interaction in the digital world.",,Art and Museum,,,,,X
,(Unlocking) Creativity,"The ability to discover new and original ideas, innovations, connections, and solutions to problems by users",Group 7 - 2023,Art and Museum,-,,,,X
,Education,The act of acquiring knowledge through a learning process,Group 7 - 2023,Art and Museum,-,,,,X
,Interactivity,The extent to which users can participate in modifying the format and content of a mediated environment in real time. ,Group 8 - 2023,Art and Museum,[Yuping Liu & L. J. Shrum. (2013)],,,,X
,Reliability,"Degree to which, in case of an interruption or a failure, a system can recover the data affected and re-establish the desired state of the system",Group 8 - 2023,Art and Museum,[ISO/IEC 25010:2011],X,,,
,User Satisfaction,"Degree to which a user is satisfied with their perceived achievement of pragmatic goals, including the results of use and the consequences of use. ",Group 8 - 2023,Art and Museum,[ISO/IEC 25010:2011],,,,X
,Compatability,"Degree to which a product can perform its required functions efficiently while sharing a common environment and resources with other products, without detrimental impact on any other product. ",Group 8 - 2023,Art and Museum,[ISO/IEC 25010:2011],X,,,
,User Feedback,User feedback is a reaction of the user upon her experience in using a software service or application. It contains meaningful information with the purpose of suggesting improvements. ,Group 8 - 2023,Art and Museum,[Morales-Remirez et al. (2015)],,,,X
,Performance Efficiency,Degree to which the maximum limits of a product or system parameter meet requirements. ,Group 8 - 2023,Art and Museum,[ISO/IEC 25010:2011],X,,,
,Stability,Degree to which a system or component is continuously operational and is accessible when needed. ,Group 9 - 2023,Urban Mobility,[ISO/IEC 25010:2011],X,,,
,,"The ability of a system to integrate with existing products and infrastructure, reducing costs related to maintenance, upgrades, and inefficiencies caused by incompatibility.",,,,,,X,
,Fault Tolerance,The degree to which a system can operate as it should despite the presence of faults in the hardware or software,Group 9 - 2023,Urban Mobility,[ISO/IEC 25010:2011],X,,,
,Adaptability,"The degree to which a system can effectively be adapted for different hardware, software or other environments. ",Group 9 - 2023,Urban Mobility,[ISO/IEC 25010:2011],X,,,
,,Degree to which the capability of a system can efficiently adjust their operations and functions in response to changing conditions. ,Group 11 - 2023,Agriculture,,X,,,
,Environmental Risk Mitigation,The degree to which a system mitigates the potential environmental risk,Group 9 - 2023,Urban Mobility,[ISO/IEC 25010:2011],,X,,
,,,Group 18 - 2023,Art and Museum,,,,,
,Crowd Density,The degree to which a system mitigates the potential risk that arises from overcrowding or from having too many users. ,Group 9 - 2023,Urban Mobility,[ISO/IEC 25010:2011],,,,X
,Affordability,"The ability of a product to integrate seamlessly with existing systems, reducing costs associated with maintenance, upgrades, and inefficiencies caused by incompatibility.",Group 9 - 2023,Urban Mobility,[ISO 37154:2017],,,X,
,,"The extent to which a system ensures accessibility and ease of integration for diverse users and organizations, promoting inclusivity and reducing technological barriers.",,,,,,,X
,,The state of being cheap enough for people to be able to buy,Group 10 - 2023,Urban Mobility,"Cambridge, 2023",,,X,
,Mobility,"The extent to which a system provides reliable and efficient infrastructure, technology, and services that enable seamless movement and commuting.",Group 9 - 2023,Urban Mobility,[ISO/IEC TR 29181-4:2013],X,,,
,,"The degree to which individuals have equitable and inclusive access to transportation, ensuring freedom of movement for all members of society.",Group 9 - 2023,Urban Mobility,[ISO/IEC TR 29181-4:2013],,,,X
,Environmental efficiency,Resources expended in relation to the accuracy and completeness ,Group 10 - 2023,Urban Mobility,[ISO/IEC TR 29181-4:2013],,X,,
,Pleasure,Degree to which a user obtains pleasure from fulfilling their personal needs. ,Group 10 - 2023,Urban Mobility,[ISO/IEC 25010:2011],,,,X
,Modifiability,Degree to which a product or system can be effectively and efficiently modified without introducing defects or degrading existing product quality. ,Group 10 - 2023,Urban Mobility,[ISO/IEC 25010:2011],X,,,
,,,Group 18 - 2023,Art and Museum,,,,,
,Functional appropriateness,Degree to which the functions facilitate the accomplishment of specified tasks and objectives. ,Group 11 - 2023,Agriculture,[ISO/IEC 25010:2011],X,,,
,,,Group 18 - 2023,Art and Museum,,,,,
,Reusability,"Retain the functionality of the material and product, and achieve potentially large reductions in material use and environmental impacts. ",Group 11 - 2023,Agriculture,,,X,,
,,"The extent to which an asset can be reused across multiple systems, reducing resource consumption, waste, and environmental impact by minimizing the need for new developments.",Group 18 - 2023,Art and Museum,[ISO/IEC 25010:2011],,,,
,,"The ability of an asset to be repurposed in different systems or for building other assets, lowering development costs, improving efficiency, and maximizing return on investment.",,,,,,X,
,Productivity,"The degree to which output for a system is maximized relative to input, reflecting efficiency and effectiveness in achieving desired economic results. ",Group 11 - 2023,Agriculture,,,,X,
,Fertilization,The process of using nutrients to support the growth and development of organisms in an environment. ,Group 11 - 2023,Agriculture,,,X,,
,Testability,Degree of effectiveness and efficiency with which test criteria can be established for a system. ,Group 18 - 2023,Art and Museum,[ISO/IEC 25010:2011],X,,,
,Functional completeness,The extent to which a system includes all required functions necessary to perform specified tasks effectively.,Group 18 - 2023,Art and Museum,[ISO/IEC 25010:2011],X,,,
,,"The ability of a system to provide complete functionality from the start, reducing the need for costly modifications, updates, and inefficiencies.",,,,,,X,
,,"The extent to which a system meets all user needs and accessibility requirements, ensuring a seamless and satisfactory user experience.",,,,,,,X
,Testability,Degree of effectiveness and efficiency with which test criteria can be established for a system. ,Group 18 - 2023,Art and Museum,[ISO/IEC 25010:2011],X,,,
,,,,,,,,,
2024,Resource Efficiency,"The degree to which user goals are achieved with minimal cost and energy consumption, reducing both operational expenses and environmental impact.",Group 2024-1000,Healthcare,[ISO/IEC 25010:2011],,X,X,
,,,Group 2024-1600,Digital Local Communities,,,,,
,,,Group 2024-9400,Urban Agriculture,,,,,
,,,Group2024-9500,Public Transport,,,,,
,,"The extent to which a system performs its functions using minimal computational resources, time, and effort while maintaining accuracy",Group 2024-1000,Healthcare,,X,,,
,,,Group 2024-1600,Digital Local Communities,,,,,
,,,Group 2024-9400,Urban Agriculture,,,,,
,,,Group2024-9500,Public Transport,,,,,
,,The ratio of the useful work performed by a machine or in a process to the total energy expended or heat taken in. ,Group 2024-1500,Waste Management,,X,,,
,,Efficiency of both individual vehicles and the system as a whole,Group 2024-1700,Urban Mobility,,,,,
,,"The degree to which the amounts and types of resources used by a system, when performing its functions, meet requirements. ",Group 2024-9310,Digital Local Communities,,,,,
,,The platform's ability to provide services using minimal resources and time.,Group 2024-9330,,ISO 25010,,,,
,,The ability of a system to minimize energy consumption while maintaining performance. ,Group 2024-1100,Healthcare,[ISO/IEC 25010:2011],,X,,
,,Extend to which the system minimizes energy consumption and emissions ,Group 2024-2100,"Concerts, Musical festivals and Public events",[IEEE 1680.1-2018],,,,
,,"The ability to use less energy to perform the same task or produce the same outcome, thereby reducing energy waste",Group 2024-1100,Healthcare,IEA (2011),X,,,
,,Resouces expended in relation to the accuracy and completeness with which user achieve their goals. ,Group 2024-9100,"Concerts, Musical festivals and Public events",[S-Cube Quality Reference Model (2012)],X,,,
,,Reducing the energy consumption of platform and delivery operations.,Group 2024-9330,Digital Local Communities,SAF Toolkit,,X,,
